# Mean and Variance of Class-wise Metrics across 6 folds
# Columns include Accuracy, Precision, Recall, and Specificity for each class
,Mean,Variance
Accuracy,0.9266666666666666,0.0021866666666666658
Iris-setosa_Precision,1.0,0.0
Iris-setosa_Recall,1.0,0.0
Iris-setosa_Specificity,1.0,0.0
Iris-versicolor_Precision,0.8902777777777778,0.009023919753086418
Iris-versicolor_Recall,0.9027777777777777,0.007253086419753087
Iris-versicolor_Specificity,0.939950980392157,0.002950187427912342
Iris-virginica_Precision,0.903505291005291,0.006502293818762071
Iris-virginica_Recall,0.8819444444444445,0.011246141975308642
Iris-virginica_Specificity,0.9497549019607844,0.001993223760092273
